"LabCode"	"Sex"	"Age"	"Ancy"	"Cysto"	"Tri"	"Tani"	"Dipy"	"Meso"	"Spiru"	"IgA"	"IgG"	"mucin"	"censor"	"age"	"Clan"	"age_death"	"rich_a"	"year"	"IMDS1"	"IMDS2"	"PMDS1"	"PMDS2"	"Diphyllobothrium"
"40F"	"1"	"1"	4875	25	0	0	0	0	0	NA	NA	NA	0	96	"I"	1953	1	"2012"	NA	NA	0.317820958772255	0.866676988158695	0
"25M"	"1"	"3"	600	2200	0	0	0	0	0	NA	155.2619479	114.2125522	0	1332	"I"	1945	2	"2015"	NA	NA	0.276449525263672	0.109518099300653	1400
"42F"	"1"	"3"	200	25	0	0	0	0	0	NA	NA	NA	1	2065	"I"	1904	2	"2017"	NA	NA	-0.197069879630214	0.224352706046209	1050
"27M"	"1"	"3"	0	0	0	0	0	0	0	9657.068076	45.48463116	24.1582458	0	1305	"I"	1898	0	"2015"	0.0340360647931239	0.135440872242887	NA	NA	0
"21M"	"1"	"3"	25	0	0	50	0	0	0	16968.00926	19.01048978	40.97560128	0	NA	"I"	NA	2	"2015"	-0.122682756038592	-0.0179278984261369	0.0019710781795753	-1.26765671957975	950
"288"	"1"	"3"	0	0	0	0	0	0	0	NA	NA	49.29888526	0	1163	"I"	1498	1	"2016"	NA	NA	-1.28857580067895	-0.0368980129783227	3540
"368"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	144240.9382	31.28444083	20.95075406	0	1622	"I"	1441	NA	"2017"	0.367950917558771	-0.231700193569397	NA	NA	NA
"300"	"1"	"3"	0	25	0	0	0	0	0	NA	NA	46.77142841	0	1273	"I"	1415	1	"2017"	NA	NA	1.81104462144885	0.568657283264441	0
"48F"	"1"	"1"	5000	0	0	0	0	350	0	NA	NA	NA	0	359	"I"	1212	2	"2015"	NA	NA	-0.116507714617942	-0.146037009373555	24625
"311"	"1"	"3"	50	0	0	0	0	0	25	NA	NA	20.24980104	0	1048	"I"	1143	2	"2017"	NA	NA	0.331390096854462	-0.773176570522495	175
"338"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	154851.9515	NA	73.63433191	1	3335	"I"	5218	NA	"2010"	NA	NA	NA	NA	NA
"287"	"1"	"1"	50	25	25	0	0	25	0	NA	NA	40.20287094	0	581	"I"	947	3	"2016"	NA	NA	0.813551334614898	-1.24696524087041	0
"366"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	95650.63204	527.3096624	38.12450926	0	1044	"I"	1146	NA	"2017"	0.483603421519065	0.257062574365368	NA	NA	NA
"13"	"1"	"1"	5925	225	0	0	0	0	0	8400.804108	33.29323782	165.207345	0	551	"I"	1413	2	"2010"	-0.353377680471729	0.0175364574970407	-0.234370312040413	0.264787387294476	31950
"16"	"2"	"1"	175	25	0	0	0	0	0	3168.721411	111.0969108	370.0387237	1	532	"I"	946	2	"2010"	-0.380017349909073	0.0797121661702673	-0.176767395188508	0.230314118835173	850
"4"	"1"	"1"	50	0	0	0	0	0	0	16969.06974	97.35569209	53.79111574	0	388	"I"	2092	1	"2010"	0.00848270291972548	0.147367499453868	-0.322062346820518	0.340451947373529	275
"42"	"1"	"1"	175	25	0	0	0	0	0	4052.261253	11.37257576	97.41625626	1	504	"I"	1680	2	"2010"	-0.404955007271646	-0.0080970186188145	-0.362328895781626	0.120622462223993	3525
"2"	"2"	"1"	1175	10425	0	0	0	0	0	18182.25227	47.99551762	318.1669941	1	229	"I"	2776	2	"2010"	-0.369163700846832	-0.000895562246678179	-0.373856172030999	-0.176300153658665	67675
"6"	"2"	"1"	37.5	14300	0	0	0	0	0	139633.2406	329.3161501	297.1882874	1	171	"I"	2259	2	"2010"	-0.017070736213902	0.0578425455105864	1.33421191304443	0.265267767882859	12.5
"7"	"2"	"1"	575	44000	0	0	0	0	0	204681.6257	45.78731819	429.7608874	0	155	"I"	3104	1	"2010"	-0.207360141041619	-0.123643137567751	1.45761936635508	0.377113133659337	0
"30"	"1"	"1"	1775	275	100	0	0	0	0	22407.08216	113.5944617	279.5804765	0	230	"I"	1194	3	"2010"	-0.266331088521154	0.0594053185759642	0.388217956978674	-0.70201486079057	5650
"6F"	"1"	"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	235	"I"	303	NA	"2002"	NA	NA	NA	NA	NA
"5"	"2"	"1"	12500	0	0	0	25	0	0	269679.0323	84.01585477	314.9396813	1	94	"I"	189	1	"2010"	-0.0758401227227614	-0.125123023815041	0.722256354599259	0.296704686962698	0
"28"	"1"	"1"	1300	525	0	0	0	0	0	290379.3173	648.7037094	262.7097172	1	191	"I"	197	1	"2010"	0.174093936576144	0.0774641086912554	0.528796298575862	0.591046021243702	0
"71"	"1"	"1"	1200	300	0	0	0	0	0	7658.216774	62.48942298	115.8674785	0	366	"I"	1089	1	"2011"	-0.247514859434306	0.0917437299944216	0.471002243203775	0.646642058358351	0
"29"	"1"	"1"	275	0	0	0	0	0	0	236243.4301	106.3413862	293.7286176	1	161	"I"	433	0	"2010"	-0.0634640718256744	-0.0969965819216741	0.28128206035661	0.941961226153541	0
"36"	"2"	"1"	600	3300	0	0	25	0	0	122542.4778	56.28174204	240.7831553	0	236	"I"	3074	2	"2010"	-0.151977049894352	-0.087898057381385	1.18074893889817	-0.123801582057232	0
"47"	"1"	"1"	25	0	0	0	0	0	0	5719.204427	19.57316775	84.2676583	0	279	"I"	1212	1	"2010"	-0.325577880889077	0.020889419776228	-0.4764220221433	0.199257664137114	525
"49"	"1"	"1"	350	0	0	0	0	75	25	21217.96622	253.5175641	260.5156876	0	300	"I"	1229	2	"2010"	-0.165937263097393	0.143106820547006	0.746757570515505	-0.638666267574972	0
"41"	"2"	"1"	12500	75	0	0	0	25	0	285388.5479	22.37839024	160.7808786	1	193	"I"	608	3	"2010"	0.00511068965114886	-0.235782488071315	-0.166502042182329	0.187182923873934	35600
"35"	"2"	"1"	20675	4950	25	25	25	0	0	127960.7	6.01400107	289.032017	0	146	"I"	2984	4	"2010"	-0.278005444612765	-0.169412330473436	0.815143391578288	-0.0356730604231854	0
"61"	"1"	"1"	4050	0	0	0	0	0	0	16511.17628	611.3657203	111.113367	1	249	"I"	356	0	"2011"	0.135498823204378	0.345258250946791	0.28128206035661	0.941961226153541	0
"341"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	170184.449	339.3864171	29.89088306	0	4529	"I"	5466	NA	"2014"	0.552162278729748	0.099110207470283	NA	NA	NA
"48"	"1"	"1"	9325	75	0	25	25	0	0	181390.9211	19.23624044	677.6414561	1	152	"I"	725	3	"2010"	-0.330636620224445	-0.125299850638851	0.779967315595558	-0.0223199479766824	0
"45"	"1"	"1"	4200	950	25	0	0	0	0	14726.22569	28.19455418	64.81455595	0	154	"I"	981	2	"2010"	-0.183834645232315	0.0188854480419886	0.750619816892026	0.180059634300469	0
