"LabCode"	"Sex"	"Age"	"Ancy"	"Cysto"	"Tri"	"Tani"	"Dipy"	"Meso"	"Spiru"	"IgA"	"IgG"	"mucin"	"censor"	"age"	"Clan"	"age_death"	"rich_a"	"year"	"IMDS1"	"IMDS2"	"PMDS1"	"PMDS2"	"Diphyllobothrium"
"22"	"1"	"1"	500	0	0	0	0	0	0	7283.076604	52.11209268	90.847412	0	122	"M"	929	1	"2010"	-0.230589121252796	0.0907522447091157	0.166028273447519	0.791428704346387	25
"17"	"2"	"1"	22950	22275	0	0	0	0	0	109837.2165	8328.722293	183.1690093	1	105	"M"	498	2	"2010"	0.512969440452906	0.647569256033929	0.557907227480312	0.474012280390468	25
"344"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	237742.1671	7.041535313	71.91142389	0	3809	"I"	4118	NA	"2016"	0.105623577721833	-0.330113764645515	NA	NA	NA
"20"	"1"	"1"	2800	5000	0	0	25	0	0	28601.17907	71.41685688	161.2794734	1	120	"M"	220	3	"2010"	-0.202190694298538	0.0341621840857545	0.303575420193423	-0.281369504649207	14550
"23"	"2"	"1"	400	0	0	0	0	0	0	59027.04536	1083.79781	163.3235295	1	125	"M"	189	1	"2010"	0.212403168663119	0.322350328153938	-0.420344241224579	0.244640221817952	5425
"18"	"2"	"1"	31875	75	0	0	25	0	0	70084.523	71.21278346	215.9791252	1	67	"M"	136	3	"2010"	-0.175433294339506	-0.0292830440302359	-0.00314391272535158	0.0846289842065955	109725
"27"	"1"	"1"	8325	0	0	0	0	0	25	106612.9644	176.5767485	279.0051783	0	109	"M"	1257	2	"2010"	-0.100038721761128	0.0151594368317437	-0.0836508470380507	0.252374857390001	21325
"63"	"1"	"1"	7850	50	0	0	0	0	0	204017.2715	34.35665451	139.901225	1	205	"M"	872	2	"2011"	-0.00102598934823242	-0.182053131288495	-0.0935652899997539	0.452248174690501	11100
"58"	"1"	"1"	13925	0	0	0	0	2050	0	564286.817	49.59014224	123.1108359	1	158	"M"	839	2	"2011"	0.215052642379942	-0.292152190725144	0.507002738908291	-0.108954879201053	25
"104"	"1"	"1"	625	0	0	0	0	0	0	53716.33316	59.57852136	194.914499	0	220	"M"	1314	0	"2011"	-0.196909183656546	-0.0228498728410969	0.28128206035661	0.941961226153541	0
"44"	"1"	"1"	1875	250	0	0	0	0	0	52666.69016	37.49973141	74.50183279	0	88	"M"	1017	1	"2010"	-0.0542371067065438	-0.0565261006841832	0.436936222646191	0.68646503137729	0
"62"	"2"	"1"	11525	1400	0	0	0	0	0	1242501.232	1588.84337	158.1411816	1	128	"M"	765	2	"2011"	0.577358728204444	0.0296516563724309	-0.0307130029463916	0.305945668417902	21200
"109"	"1"	"1"	100	125	0	0	25	0	0	208116.4677	508.0336847	132.6983527	1	203	"M"	767	3	"2011"	0.271053175801709	0.102667913878619	0.592653978347551	-0.801434446936929	1975
"5A"	"2"	"3"	0	0	0	0	0	0	0	2660.758683	16.64760724	88.77311766	1	1616	"I"	3750	1	"2010"	-0.384433502277721	0.0232909767422348	-1.28857580067895	-0.0368980129783225	425
"116"	"1"	"1"	2050	250	0	0	0	150	0	20750.44187	79.20426127	140.6455145	0	272	"M"	1614	3	"2011"	-0.192230918911408	0.0644193910044976	-0.316627844656498	-0.220051728206648	57625
"69"	"1"	"1"	0	0	0	0	25	0	0	167420.8397	697.2460922	198.694262	0	152	"M"	1015	1	"2011"	0.190292786166474	0.152289261110955	2.14549229140205	-1.33643189985643	0
"70"	"2"	"1"	425	0	0	0	0	0	0	296231.5189	219.4135608	103.1087059	1	152	"M"	1160	0	"2011"	0.279161128351704	-0.0554558107046283	0.28128206035661	0.941961226153541	0
"128"	"2"	"1"	2923	0	50	0	50	25	0	75007.34856	37.14522463	134.5409164	1	175	"M"	1771	4	"2011"	-0.128928761957751	-0.0833172159175588	0.510512821243367	-0.694099403217134	11225
"119"	"2"	"1"	2650	0	0	0	25	0	0	393490.4806	52.20604372	173.4127132	1	157	"M"	295	2	"2011"	0.083115906648758	-0.218075151995386	-0.00401398752369247	-0.310926996965227	25525
"112"	"2"	"1"	2300	0	0	0	0	0	0	123164.8282	118.0048387	104.5714381	0	125	"M"	2763	0	"2011"	0.0901006714883268	-0.0249909588093721	0.28128206035661	0.941961226153541	0
"118"	"1"	"1"	225	50	0	0	0	0	0	60418.36568	51.46045068	140.2980907	1	165	"M"	931	2	"2011"	-0.13820757002531	-0.0409670315004848	-0.326273920684273	0.117434137877597	3775
"36A"	"2"	"3"	0	0	0	0	0	0	0	NA	NA	NA	1	5980	"P"	6233	1	"2010"	NA	NA	-1.28857580067895	-0.0368980129783225	4325
"343"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	537849.0005	NA	26.29871515	1	2967	"P"	3856	NA	"2002"	NA	NA	NA	NA	NA
"37A"	"2"	"3"	100	0	0	0	0	0	0	11091.52849	NA	NA	1	5265	"P"	6754	1	"2010"	NA	NA	-0.307610824098104	0.35217037313358	475
"334"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	160326.7018	58.59857043	28.03930754	1	1198	"I"	1886	NA	"2009"	0.372651403302536	-0.163061652999657	NA	NA	NA
"38A"	"2"	"3"	425	0	0	0	0	0	0	NA	NA	36.61535569	1	4974	"P"	6023	1	"2010"	NA	NA	-0.388796007546701	0.278903320801411	4150
"39A"	"2"	"3"	1575	0	0	50	0	0	0	960.4016888	NA	425.5989917	1	4096	"P"	5413	1	"2010"	NA	NA	0.930152023517612	0.0985027095913587	0
"376"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	59615.85192	15.37647083	84.55215733	1	2135	"P"	2461	NA	"2009"	-0.126579843408169	-0.129350954750979	NA	NA	NA
"371"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	46907.6239	22.53360618	17.42396487	0	4924	"P"	4746	NA	"2017"	0.217515815050297	-0.107275094711771	NA	NA	NA
"374"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	108226.4024	20.27796274	46.28163556	0	4644	"P"	4426	NA	"2018"	0.10847837831575	-0.193892139053408	NA	NA	NA
"16M"	"1"	"3"	350	175	0	50	0	25	0	2431.208505	0	69.47747772	0	NA	"P"	NA	4	"2015"	-0.574166016999337	-0.0446361060619801	0.142394061466061	-0.864550120524947	2375
"350"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	95634.53526	35.95013432	32.62074394	0	3902	"P"	4164	NA	"2016"	0.21397126230357	-0.135088734215586	NA	NA	NA
"40A"	"2"	"3"	0	0	0	0	0	0	0	NA	NA	NA	0	1887	"P"	4164	0	"2011"	NA	NA	NA	NA	0
"41A"	"2"	"3"	25	0	0	0	0	0	0	NA	NA	NA	0	1454	"P"	3702	1	"2011"	NA	NA	-0.092902491133476	0.536181495481637	25
"249"	"1"	"3"	50	0	0	0	0	0	0	NA	NA	97.50402257	0	1128	"P"	3651	0	"2010"	NA	NA	0.28128206035661	0.941961226153541	0
"6A"	"2"	"3"	525	0	0	0	0	0	0	13943.60046	32.81729056	177.4328078	1	1258	"I"	1444	0	"2010"	-0.334479114395721	0.00160198883672132	0.28128206035661	0.941961226153541	0
"373"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	72513.60757	135.4064288	93.93299497	0	3808	"P"	3590	NA	"2018"	0.0673804722391454	0.044526613329047	NA	NA	NA
"42A"	"2"	"3"	50	0	0	0	0	0	0	NA	NA	NA	0	1138	"P"	3590	1	"2010"	NA	NA	-0.754108808240536	-0.00175468243832353	6850
"308"	"1"	"3"	150	0	0	0	0	0	0	NA	NA	73.8088335	0	NA	"P"	NA	0	"2017"	NA	NA	0.28128206035661	0.941961226153541	0
"127F"	"1"	"3"	275	150	0	0	0	25	0	NA	NA	NA	0	1224	"P"	3135	3	"2012"	NA	NA	-0.457171007799738	-0.267948069943344	21975
"23M"	"1"	"3"	0	0	0	0	0	0	0	NA	24.66615584	23.34533532	0	NA	"P"	NA	0	"2015"	NA	NA	NA	NA	0
"129F"	"1"	"3"	50	25	0	0	0	0	25	NA	NA	NA	0	961	"P"	1071	3	"2011"	NA	NA	0.718244373492736	-0.573195923094748	50
"331"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	236924.8797	1665.544958	112.021273	1	123	"P"	633	NA	"2009"	0.474716872241788	0.29243352618433	NA	NA	NA
"330"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	352924.5341	423.9538104	70.81654718	1	117	"P"	435	NA	"2009"	0.465086127835531	0.0120891158871962	NA	NA	NA
"329"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	279424.136	995.0574963	64.99594191	1	117	"P"	13	NA	"2009"	0.554537482771308	0.197257546927472	NA	NA	NA
"333"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	1233859.586	58.81012329	95.29019887	1	126	"P"	2495	NA	"2009"	0.419949506478287	-0.420205161986179	NA	NA	NA
"359"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	81407.8982	10.08759994	29.89387537	0	3352	"I"	3525	NA	"2016"	0.117727497764707	-0.234492757945459	NA	NA	NA
"282"	"1"	"3"	25	0	0	0	0	0	0	NA	NA	40.59532236	0	NA	"P"	NA	1	"2015"	NA	NA	-0.205244756429399	0.445529936707443	50
"346"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	41961.81454	NA	85.89602228	0	2168	"P"	2467	NA	"2016"	NA	NA	NA	NA	NA
"379"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	27725.52531	NA	73.66295	1	653	"P"	2186	NA	"2012"	NA	NA	NA	NA	NA
"26M"	"1"	"3"	NA	NA	NA	NA	NA	NA	NA	NA	0	102.0510122	0	2977	"P"	3572	NA	"2015"	NA	NA	NA	NA	NA
"348"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	53623.44949	66.45397804	27.41933568	0	1890	"P"	2161	NA	"2016"	0.24328359513051	0.0133054568349937	NA	NA	NA
"362"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	1930950.257	NA	141.5854042	0	1942	"P"	2091	NA	"2017"	NA	NA	NA	NA	NA
"20M"	"1"	"3"	0	0	0	0	0	0	0	13052.28065	4.81370874	41.18677801	0	1524	"P"	2097	1	"2015"	-0.24955947415009	-0.0900494466457934	-1.28857580067895	-0.0368980129783227	2425
"378"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	341347.8207	NA	70.41139393	0	310	"P"	2042	NA	"2012"	NA	NA	NA	NA	NA
"142F"	"1"	"3"	0	0	0	0	0	0	0	NA	NA	NA	0	2186	"P"	2032	0	"2017"	NA	NA	NA	NA	0
"295"	"1"	"3"	0	0	0	0	0	0	0	NA	NA	42.35482735	0	1764	"P"	2021	0	"2016"	NA	NA	NA	NA	0
"7A"	"2"	"3"	0	0	0	0	0	0	0	NA	2.020579469	52.50437167	0	1103	"I"	3525	1	"2010"	NA	NA	-1.28857580067895	-0.0368980129783225	25
"347"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	8836.833249	8.680021977	122.8266656	0	1565	"P"	1853	NA	"2016"	-0.404263062381662	-0.0348061914419151	NA	NA	NA
"145F"	"1"	"1"	1200	100	0	0	0	525	0	NA	NA	NA	0	189	"P"	1827	3	"2012"	NA	NA	-0.194049944935056	-0.512935860181479	11900
"310"	"1"	"3"	100	0	0	0	0	0	0	NA	NA	111.3152518	0	NA	"P"	NA	0	"2017"	NA	NA	0.28128206035661	0.941961226153541	0
"147F"	"1"	"3"	25	0	0	0	0	0	0	NA	NA	NA	0	NA	"P"	NA	1	"2018"	NA	NA	-0.728532583370006	0.00905626760956627	2625
"292"	"1"	"3"	50	0	0	0	0	0	0	NA	NA	23.21242322	0	NA	"P"	NA	1	"2016"	NA	NA	-0.401659803133698	0.262295382186663	525
"149F"	"1"	"3"	50	0	0	0	0	0	0	NA	NA	NA	0	NA	"P"	NA	0	"2017"	NA	NA	0.28128206035661	0.941961226153541	0
"345"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	2512637.04	632.0470858	133.8891216	0	196	"P"	497	NA	"2016"	0.611068954379845	-0.247120961136034	NA	NA	NA
"351"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	690716.618	792.4783001	88.12304374	0	156	"P"	418	NA	"2016"	0.565733936130206	0.0102884959806202	NA	NA	NA
"356"	"1"	"1"	NA	NA	NA	NA	NA	NA	NA	160256.7659	NA	111.1540838	0	214	"P"	418	NA	"2016"	NA	NA	NA	NA	NA
"354"	"1"	"1"	NA	NA	NA	NA	NA	NA	NA	323186.2461	76.91895194	150.4194157	0	139	"P"	368	NA	"2016"	0.105264203875187	-0.170116743995176	NA	NA	NA
"377"	"2"	"3"	NA	NA	NA	NA	NA	NA	NA	261229.5666	NA	85.11337766	1	4750	"I"	4989	NA	"2011"	NA	NA	NA	NA	NA
"8A"	"2"	"3"	0	0	0	0	0	0	0	9628.144433	26.73888462	60.12657314	0	2732	"I"	3322	0	"2015"	-0.209917590388409	0.0393686954142754	NA	NA	0
"357"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	356389.1194	342.1968916	79.24311865	0	170	"P"	368	NA	"2016"	0.417131671075701	-0.024364799495921	NA	NA	NA
"358"	"1"	"1"	NA	NA	NA	NA	NA	NA	NA	309251.9267	630.7020523	114.0192892	0	149	"P"	347	NA	"2016"	0.383139883123505	0.0881533217434448	NA	NA	NA
"365"	"1"	"1"	NA	NA	NA	NA	NA	NA	NA	323186.2461	NA	64.98758268	1	234	"P"	295	NA	"2017"	NA	NA	NA	NA	NA
"352"	"1"	"1"	NA	NA	NA	NA	NA	NA	NA	567257.0355	NA	105.2859197	1	101	"P"	295	NA	"2016"	NA	NA	NA	NA	NA
"353"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	6499436.461	436.558335	344.8755762	1	52	"P"	110	NA	"2016"	0.513069755363644	-0.418141097662482	NA	NA	NA
"361"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	296934.2878	NA	78.18194805	0	123	"P"	272	NA	"2017"	NA	NA	NA	NA	NA
"360"	"2"	"1"	NA	NA	NA	NA	NA	NA	NA	4544810.269	375.5397906	121.389157	1	119	"P"	145	NA	"2017"	0.646863294215906	-0.46289441264706	NA	NA	NA
"1"	"2"	"1"	7925	275	0	0	0	0	0	264456.911	74.95268286	210.1729628	1	42	"P"	260	2	"2010"	-0.000542242710401694	-0.139267791707962	0.311111099707533	0.702132901710791	125
"32"	"2"	"1"	1125	50	0	25	0	0	0	40182.40876	1916.401519	108.2902399	0	247	"P"	3091	3	"2010"	0.370136121788306	0.49150117389599	0.153200458735511	-0.278025707689713	2925
"3"	"2"	"1"	1925	225	0	0	0	0	75	72987.56996	43.91693602	325.3466141	1	144	"P"	1494	2	"2010"	-0.274876713992724	-0.0608872329356674	0.807779003703851	0.250988233380384	0
"9A"	"2"	"3"	50	0	0	0	0	0	675	8565.210713	38.72537651	117.0489128	1	799	"I"	2596	1	"2010"	-0.290779629030642	0.0458583974060304	1.8825710146937	-0.330975499760137	0
"8"	"2"	"1"	5200	550	50	0	0	0	150	269486.0269	294.9080969	402.6287896	1	106	"P"	611	4	"2010"	-0.0244131029825288	-0.0172480374318621	0.766348623551865	-0.353727591175218	25
"94"	"2"	"1"	75	25	0	0	0	0	0	8145.014654	29.83799216	34.89976918	0	366	"P"	3048	1	"2011"	-0.11047070949299	0.0806182282089124	0.49405538120191	0.61473662933199	0
"95"	"1"	"1"	0	0	0	0	0	0	0	10448.17488	15.2430753	30.17800609	0	366	"P"	1325	0	"2011"	-0.131967569276976	0.002552472983834	NA	NA	0
"81"	"1"	"1"	1025	0	0	0	75	0	0	47305.95044	244.6248494	157.5951974	0	350	"P"	983	1	"2011"	-0.0157036917774776	0.130857985776815	1.31708954978455	-0.344763559536766	0
"31"	"1"	"1"	450	25	0	0	0	0	0	5793.221436	17.6431767	185.2087523	0	36	"P"	1529	2	"2010"	-0.432339317203413	-0.0104477947880407	-0.361108825260208	0.151739671094396	6875
"25"	"2"	"1"	11475	200	0	0	0	0	0	349683.3459	7054.213637	379.6254358	1	174	"P"	195	2	"2010"	0.428964341885385	0.427526490131636	-0.159656724946752	0.365297186673331	26200
"83"	"1"	"1"	75	450	0	0	0	0	0	27529.47484	54.54562825	128.8047094	0	193	"P"	1641	1	"2011"	-0.191244386651957	0.0201227988152104	0.899777318881053	0.482116849154531	0
"85"	"1"	"1"	975	325	0	0	0	0	0	23095.76571	65.31503176	266.3984486	1	200	"P"	41	1	"2011"	-0.306055866871276	0.0166573312225741	0.49405538120191	0.61473662933199	0
"65"	"2"	"1"	2525	0	0	0	0	0	0	16758.43608	396.6897456	94.43104835	0	176	"P"	2892	0	"2011"	0.0975394492186065	0.295534373575505	0.28128206035661	0.941961226153541	0
"64"	"1"	"1"	100	0	0	0	0	0	0	31698.75906	691.7564454	160.925459	0	176	"P"	1006	0	"2011"	0.106827207398064	0.293349233502447	0.28128206035661	0.941961226153541	0
"3M"	"1"	"3"	0	25	0	0	0	0	0	NA	21.35662716	61.20232752	0	NA	"I"	NA	2	"2013"	NA	NA	-0.952867336900287	-0.153574833685973	1000
